RU	ING
Ашик себе не верит: то, что это Карс.	ЁЁ‘: Ва ' "1“1ід Ашик-Кериба: кхо ди мара дисадацар /Ё— Ва ОоЕщдет ДАГ) ;Ёд. дір “‚ йиллаь ха тГакхача.
Он упал на колени и сказал: «Виноват, Ага, трижды виноват твой слуга Ашик-Кериб: но ты сам знаешь, что если человек решился лгать с утра, то должен лгать до конца дня: мне по-настоящему надо в Тифлиз».	ЖГаьта а, говра т а ЁЁ А ( КЗ ’1 ‘„“1 “МД'ЫГ‹',*„Ё МОЛа Л а хайна, шийца дошоча ахчан т орми і ‚Ё…
«Экой ты, неверный, – сказал сердито всадник, – но нечего делать: прощаю тебе – закрой же глаза.	ЖГаьта а, говра т а ЁЁ А ( КЗ ’1 ‘„“1 “МД'ЫГ‹',*„Ё МОЛа Л а хайна, шийца дошоча ахчан т орми і ‚Ё…
Теперь открой», – прибавил он по прошествии минуты.	Ё оаЕ а ийца, говр кхо ца еш, д1аийккхар =БЩА, ВНа из.
Ашик вскрикнул от радости: они были у ворот Тифлиза.	Ё оаЕ а ийца, говр кхо ца еш, д1аийккхар =БЩА, ВНа из.
Принеся искреннюю свою благодарность и взяв свою суму с седла, Ашик-Кериб сказал всаднику: «Ага, конечно, благодеяние твоё велико, но сделай ещё больше; если я теперь буду рассказывать, что в один день поспел из Арзиньяна в Тифлиз, мне никто не поверит; дай мне какое-нибудь доказательство».	Эггара т1ехьа а сов чЧ1оаг1а хий- В од Ё___ЁЁ:; я = я КЕЕ - — ЗАНИ хка са а хаьда, Арзиньянаи — Арзеру- : я маи юкъерча Арзинган-лоам та 1окхийт- хьо?“ — „Вала безам болаш ва,“— аьнна та елар говр.
«Наклонись, – сказал тот, улыбнувшись, – и возьми изпод копыта коня комок земли и положи себе за пазуху: и тогда если не станут верить истине слов твоих, то вели к себе привести слепую, которая семь лет уж в этом положении, – помажь ей глаза – и она увидит».	Эггара т1ехьа а сов чЧ1оаг1а хий- В од Ё___ЁЁ:; я = я КЕЕ - — ЗАНИ хка са а хаьда, Арзиньянаи — Арзеру- : я маи юкъерча Арзинган-лоам та 1окхийт- хьо?“ — „Вала безам болаш ва,“— аьнна та елар говр.
Ашик взял кусок земли из-под копыта белого коня, но только он поднял голову, всадник и конь исчезли; тогда он убедился в душе, что его покровитель был не кто иной, как Хадерилиаз (св.	Х1анз фу дергда цо? жоп делар Ашика.— „ТокТалвала — х1аьта Арзиньянера Гуржег11а шин бетта бах- уккхаза; ишта дале, аз вувргва хьо.“ ‘ хьал никъ ба, юхедисар ши ди мара дац.
Георгий) 12 .	Х1анз фу дергда цо? жоп делар Ашика.— „ТокТалвала — х1аьта Арзиньянера Гуржег11а шин бетта бах- уккхаза; ишта дале, аз вувргва хьо.“ ‘ хьал никъ ба, юхедисар ши ди мара дац.
Только поздно вечером Ашик-Кериб отыскал дом свой: стучит он в двери дрожащею рукою, говоря: «Ана, ана (мать), отвори: я божий гость: и холоден, и голоден; прошу, ради странствующего твоего сына, впусти меня».	Ашик халла окТалваьлар лоамах Хы;і- „Низ кхоачаш вола аллах11— аьнна щ - волле сона т ехьа“, — аьлар цун .'а"баь- г1а техар цо.— ХГанз Та сона новкъостал речо бирса.— „Мишта воаг1а со хьона ( ца дойя, укх лаьтта кхы де хГама дац ; т1ехьа, — аьнна жоп делар Ашика,— хьа са1“ Лакхача лоамах ахка ваха безам ' ды мух мо масса бода, х1аьта со е;; т1ор- хилар цун.
