# RU	ING
улыбнувшись, – и возьми из- под копыта коня комок земли и положи себе за пазуху: и тогда если не станут верить истине слов твоих	са говра хьат1ехьашка а хайя, долчча бесса’бакъдар хьаала: мича ваха веза хьа?“— „Тахан Арзеруме: кхоачаре а тоъаргвар,“ — аьлар
то вели к себе привести слепую	„ДТав1ашта дахка бТаргаш.* Укхо д1ав1ашта дехкар.
которая семь лет уж в этом положении, – помажь ей глаза – и она увидит».	„ХГанз хьалакха“.
Ашик взял кусок земли из-под копыта белого коня, но только он поднял голову, всадник и конь исчезли	Ашик д1ахьежача: цунна хьалхашка дар Арзерума кТай пенаши къегаш дола цун мимараши.
тогда он убедился в душе, что его покровитель был не кто иной, как Хадерилиаз (св.	Аг1а, — г1алат ваьннав со, со веннавар Къарсе‘ваха веза са ала,— „Из да-кх дош, — аьлар баьречо,— аз хьалххе а д1а ма аьннадарий хьога, щена бакъдар алалахь сога, аьнна
Только поздно вечером Ашик-Кериб отыскал дом свой: стучит он в двери дрожащею рукою, говоря: «Ана, ана (мать), отвори: я божий гость: и холоден, и голоден	юха а д1ав1ашта дахка бТаргаш.
прошу, ради странствующего твоего сына, впусти меня».	Х1анз хьалакха“.
Слабый голос старухи отвечал ему: «Для ночлега путников есть дома богатых и сильных: есть теперь в городе свадьбы – ступай туда	Ашик шийх а‘тешац, из Къарсе я, аьнна.
там можешь провести ночь в удовольствии».	Тогора а вежа, аьлар цо:—
«Ана, – отвечал он, – я здесь никого знакомых не имею и потому повторяю мою просьбу: ради странствующего твоего сына впусти меня».	„Бехке ва со,
Тогда сестра его говорит матери: «Мать, я встану и отворю ему двери».	Агп1а, кхозза бехке ва хьа г1улакхча Ашик-Кериб; цхьабакъда, хьона хьайна ма хой, Турра денз харцле лаьрх1а вола саг, сарралца харцле везалга.
«Негодная, – отвечала старуха, – ты рада принимать молодых людей и угощать их, потому что вот уже семь лет, как я от слёз потеряла зрение».	Бокъонцадар аьлча, са Гуржег1а ваха ма везар“.—“Даьллахьий ма харц лувш саг ва хьо1— аьлар щимхара ` баьречо, — х1аьта а, де х1ама дац, аз гешт ду хьона.
не внимая её упрекам	Д1ав1ашта дахка б1ар-
отперла двери и впустила Ашик-Кериба: сказав обычное приветствие	таш, х1анз хьалакха“,— аьлар цо цхьа кулгаца ни1 еттар цо: „Ана, ана*, хьаеминут яьннача гТолла.
он сел и с тайным волнением стал осматриваться: и видит он на стене висит в пыльном чехле его сладкозвучный сааз.	Сов гГадвахача лла ни11 со даьла хьаша ва, шийла а Ашикага щЩюг11а ийккхар: ГуржегТен на1а- меца а волаш
И стал он спрашивать у матери: «Что висит у тебя на стене?» «Любопытный ты гость, – отвечала она, – будет и того	хьай наькъа араваьнна рашта юххе бар уж.
что тебе дадут кусок хлеба и завтра отпустят тебя с богом».	ЧТоага дег тТера лелача ви1ий духьа чувита со“.
«Я уж сказал тебе	Иоккхабаркал а аьнна, нувра т1ара ший т1юрми ча сега г1ийлача ашаро юха жоп делар хьа а ийца, ' Ашик-Кериба аьлар баьре- цунна:
